supplier_id,country,component_category,years_in_business,num_manufacturing_sites,annual_revenue_millions,num_employees,on_time_delivery_rate,defect_rate_ppm,lead_time_days,lead_time_variability,financial_health_score,debt_to_equity_ratio,num_certifications,has_iso9001,has_iso14001,has_iatf16949,num_customers,single_source_pct,sub_tier_visibility,recent_disruption_events,news_sentiment_score,compliance_violations,geographic_risk_index,risk_label
SUP-0000,South Korea,PCB,13,2,116.4,3427,0.79,579.0,42,0.054,60.8,1.24,6,1,0,0,5,0.461,0,0,0.338,0,0.309,Low
SUP-0001,UK,Memory,19,2,139.7,299,0.856,11.0,16,0.049,58.4,0.37,3,0,0,0,18,0.216,2,0,0.603,0,0.052,Low
SUP-0002,India,Connectors,3,5,8.5,23,0.626,28.0,32,0.096,82.9,0.35,1,1,1,1,9,0.089,1,1,0.647,1,0.46,Medium
SUP-0003,USA,Memory,11,2,5.7,901,0.677,380.0,121,0.169,63.2,5.0,3,1,1,0,17,0.303,2,0,0.946,1,0.126,High
SUP-0004,China,PCB,10,5,17.8,1316,0.726,106.0,21,0.396,72.8,0.39,2,1,1,1,15,0.087,1,0,0.31,0,0.603,Low
SUP-0005,China,Sensors,21,1,20.2,60,0.9,501.0,13,0.023,78.2,0.23,3,1,1,1,14,0.468,3,0,0.605,0,0.594,Low
SUP-0006,China,Power Management,28,4,169.0,498,0.78,402.0,22,0.076,49.3,0.78,11,1,1,1,165,0.03,1,1,0.728,1,0.568,Medium
SUP-0007,Malaysia,Passive Components,1,5,21.7,693,0.907,441.0,23,0.01,72.7,1.3,4,1,1,0,117,0.287,3,0,0.477,0,0.274,Low
SUP-0008,USA,Power Management,13,1,15.1,369,0.89,180.0,14,0.213,92.0,,1,1,0,0,82,0.148,2,1,0.79,1,0.159,Low
SUP-0009,Vietnam,Power Management,1,2,21.8,156,0.708,511.0,26,0.089,45.9,0.77,2,1,0,0,120,0.259,3,1,0.491,0,0.449,Medium
SUP-0010,China,Sensors,9,1,292.3,1365,0.858,884.0,9,0.184,74.0,0.03,3,1,1,1,83,0.293,3,1,0.658,0,0.603,Medium
SUP-0011,France,Memory,4,4,55.7,248,0.934,3125.0,13,0.058,48.4,0.6,2,1,1,1,19,0.168,1,1,0.575,0,0.135,Medium
SUP-0012,Mexico,Passive Components,4,2,41.7,67,0.729,911.0,31,0.279,85.4,0.24,2,0,1,0,17,0.378,1,0,0.632,0,0.297,Medium
SUP-0013,China,Semiconductors,5,3,46.3,34,0.838,408.0,7,0.115,85.2,0.29,2,0,1,0,25,0.133,2,0,0.615,1,0.623,Medium
SUP-0014,China,Displays,11,1,379.2,1831,0.559,107.0,34,0.431,57.9,0.5,2,1,1,0,16,0.329,1,0,0.594,0,0.652,Medium
SUP-0015,China,Sensors,4,1,17.7,845,0.844,572.0,6,0.012,100.0,2.1,2,1,0,0,7,0.188,0,0,0.505,0,0.618,Low
SUP-0016,Taiwan,PCB,15,1,392.8,448,0.735,1388.0,7,0.108,87.1,0.99,7,1,1,1,27,0.045,3,0,0.467,0,0.756,Medium
SUP-0017,Germany,Semiconductors,6,2,74.9,237,0.899,119.0,14,0.218,79.1,2.21,3,0,1,0,4,0.41,1,1,0.663,2,0.098,High
SUP-0018,Japan,Displays,1,3,42.9,213,0.948,148.0,23,0.138,78.0,,0,0,1,0,23,0.164,0,1,0.611,0,0.108,Low
SUP-0019,Taiwan,PCB,18,5,2324.7,110,0.789,81.0,44,0.004,84.7,0.01,5,1,1,0,7,0.151,2,0,0.462,1,0.692,Medium
SUP-0020,USA,Power Management,4,3,11.2,240,0.753,667.0,20,0.538,45.1,0.25,2,1,1,0,18,0.382,3,0,0.669,0,0.032,Low
SUP-0021,China,Connectors,6,2,32.1,31,0.639,261.0,17,0.053,68.9,1.89,4,1,0,0,24,0.086,3,1,,0,0.719,Medium
