component_id,category,manufacturer,package_type,years_since_introduction,technology_node_nm,num_alternative_parts,num_authorized_distributors,monthly_demand_units,demand_trend_6m,demand_trend_12m,avg_lead_time_weeks,lead_time_increase_pct,price_trend_6m,num_pcn_notices,last_pcn_months_ago,manufacturer_financial_health,num_design_wins,cross_reference_count,rohs_compliant,automotive_qualified,military_grade,lifecycle_stage,will_go_eol_12m
CMP-00000,Resistors,Samsung,QFP,0.5,65,4,7,3302,-0.097,-0.198,13.4,21.8,0.105,0,17.0,97.7,3,3,0,0,0,Active,0
CMP-00001,ICs,Vishay,TSSOP,14.8,65,7,8,2004,-0.205,-0.102,6.6,14.5,0.107,0,11.0,65.7,10,1,1,0,0,Last Buy,0
CMP-00002,Diodes,NXP,SMD-0603,5.0,65,4,6,1031,0.266,-0.183,16.9,5.0,-0.07,1,32.0,54.9,5,3,1,0,1,Active,0
CMP-00003,Connectors,Samsung,QFP,0.8,22,3,5,62210,0.024,-0.286,14.4,5.5,0.136,0,16.0,81.7,9,6,1,0,0,Active,0
CMP-00004,Semiconductors,Infineon,QFN,9.8,28,2,6,558,-0.114,-0.367,10.0,6.9,-0.111,0,14.0,63.5,10,5,0,1,0,Declining,0
CMP-00005,Semiconductors,Intel,TO-220,5.4,22,2,5,46,-0.062,0.068,16.7,2.9,0.019,0,6.0,69.0,7,3,1,1,0,Active,0
CMP-00006,Semiconductors,Microchip,TO-220,1.7,250,7,8,2966,-0.007,0.085,11.8,17.7,0.078,0,18.0,60.4,2,2,0,1,0,Active,0
CMP-00007,Transistors,STMicro,SMD-0402,0.5,10,3,5,927,-0.025,-0.407,7.5,16.5,0.012,0,2.0,68.3,7,2,1,1,0,Active,0
CMP-00008,Connectors,Microchip,BGA,4.3,40,6,3,886,-0.095,0.25,6.9,12.3,-0.003,0,9.0,70.9,1,3,0,0,0,Active,0
CMP-00009,Inductors,STMicro,SMD-0402,0.7,130,5,2,530,0.162,-0.067,6.1,-4.7,0.01,0,55.0,65.1,6,4,1,1,1,Active,0
CMP-00010,Semiconductors,NXP,DIP,0.8,90,6,3,2043,0.008,-0.183,24.9,-3.6,0.11,1,1.0,85.1,40,1,1,1,1,Active,0
CMP-00011,ICs,Microchip,QFP,2.5,130,2,8,18512,-0.006,0.061,19.8,6.8,-0.03,2,56.0,71.8,8,2,1,1,0,Active,0
CMP-00012,Transistors,STMicro,SMD-0805,8.0,250,4,5,22087,0.232,-0.161,19.5,-9.5,0.086,2,12.0,81.4,2,4,1,0,1,Last Buy,0
CMP-00013,Capacitors,Microchip,SMD-0805,6.0,40,1,2,74506,0.345,0.138,17.2,-5.8,0.017,0,38.0,81.4,7,3,1,1,0,Mature,0
CMP-00014,Semiconductors,ROHM,DIP,0.6,28,6,9,4536,0.012,0.044,6.0,-8.8,0.09,1,19.0,62.3,3,3,1,0,0,Active,0
CMP-00015,Semiconductors,Samsung,QFN,27.6,10,7,1,20495,0.051,0.093,5.1,-4.6,0.148,0,1.0,65.6,16,2,1,0,0,Last Buy,0
CMP-00016,Capacitors,ON Semi,SMD-0805,17.5,22,3,6,3548,-0.241,-0.216,5.7,-15.1,-0.077,0,33.0,72.6,12,1,1,0,0,Declining,0
CMP-00017,Connectors,STMicro,QFP,2.4,65,5,2,513,0.014,0.199,17.6,-2.3,,3,26.0,95.3,8,7,1,0,0,Mature,0
CMP-00018,Resistors,NXP,SMD-0805,1.0,22,3,7,44839,0.162,0.278,6.1,1.9,0.164,0,38.0,76.9,3,1,1,0,0,Active,0
CMP-00019,Capacitors,STMicro,DIP,22.8,90,2,6,434,-0.305,-0.158,20.5,4.3,-0.169,2,18.0,65.2,22,2,1,0,1,EOL Announced,1
CMP-00020,Connectors,STMicro,SMD-0603,4.9,10,3,5,605,-0.233,-0.165,20.9,-7.4,-0.057,0,9.0,69.0,37,3,1,0,0,Active,0
CMP-00021,Semiconductors,TDK,TSSOP,3.0,28,4,5,3425,0.336,-0.441,17.2,24.1,0.131,0,46.0,75.8,1,2,1,0,0,Active,0
CMP-00022,Capacitors,ROHM,TSSOP,5.4,90,5,4,1402,-0.13,-0.378,10.8,16.0,0.111,1,60.0,83.2,2,2,1,0,0,Active,0
CMP-00023,Resistors,Samsung,SMD-0402,11.9,28,1,3,119,0.072,0.084,20.5,-1.5,-0.216,1,24.0,83.2,1,5,1,0,1,Last Buy,0
CMP-00024,Resistors,Broadcom,CSP,1.5,90,4,6,13519,0.059,-0.177,11.1,13.8,-0.051,0,4.0,48.4,2,2,1,1,0,Active,0
CMP-00025,Diodes,Infineon,SOIC,11.7,250,3,3,428,0.092,0.164,27.9,11.1,0.041,0,6.0,100.0,3,1,0,0,0,Mature,0
CMP-00026,Semiconductors,Texas Instruments,QFP,11.1,130,1,4,11915,0.106,0.187,20.0,10.7,-0.087,1,27.0,54.3,2,5,1,0,0,Mature,0
CMP-00027,Connectors,ON Semi,SMD-0402,6.2,28,2,6,1222,0.125,-0.097,7.1,14.3,-0.029,0,4.0,76.8,2,6,1,1,0,Active,0
CMP-00028,Connectors,STMicro,TO-220,16.1,180,2,8,1104,-0.006,0.201,7.3,3.6,0.015,0,6.0,61.6,6,2,1,0,0,Declining,0
CMP-00029,Semiconductors,Vishay,CSP,1.1,10,4,8,431,-0.057,0.062,8.8,2.6,0.007,0,1.0,74.9,8,2,0,0,0,Active,0
CMP-00030,Connectors,STMicro,SOT-23,7.2,90,4,5,3510,,0.187,10.4,-20.0,,0,17.0,64.8,2,3,1,0,0,Declining,0
CMP-00031,Semiconductors,TDK,SMD-0805,4.8,10,2,5,403,-0.128,-0.432,6.9,16.5,0.059,0,9.0,71.2,5,2,1,1,1,Mature,0
CMP-00032,Semiconductors,Microchip,SMD-0805,4.4,22,8,3,635926,-0.072,-0.053,19.1,13.1,0.119,0,5.0,74.8,34,3,1,1,0,Active,0
CMP-00033,ICs,Infineon,QFN,2.3,250,8,5,8427,-0.1,0.188,17.3,22.0,0.072,2,14.0,78.4,28,2,1,1,0,Active,0
CMP-00034,ICs,Vishay,TSSOP,3.7,28,5,8,9997,0.044,-0.296,10.4,-14.3,0.001,1,14.0,100.0,7,2,1,1,0,Mature,0
CMP-00035,Diodes,ON Semi,SMD-0402,0.9,130,3,5,109,0.029,0.151,25.1,24.9,0.192,0,4.0,60.2,5,4,1,1,0,Active,0
CMP-00036,Capacitors,Vishay,SOT-23,2.3,40,3,3,6249,-0.199,0.038,12.3,27.4,-0.014,0,0.0,80.8,12,2,1,1,1,Active,0
CMP-00037,Semiconductors,Broadcom,TSSOP,2.5,130,1,3,2523,-0.138,0.197,5.2,14.6,0.069,1,38.0,73.7,7,1,1,0,0,Mature,0
CMP-00038,Inductors,Samsung,SMD-0805,10.2,250,4,5,342,0.046,-0.061,6.9,10.4,-0.154,1,3.0,100.0,2,2,1,0,1,Declining,0
CMP-00039,Resistors,NXP,TO-220,0.5,40,4,5,70714,-0.276,0.045,14.4,5.6,-0.21,0,34.0,67.4,1,2,1,1,0,Active,0
CMP-00040,Semiconductors,Renesas,QFN,8.4,65,6,4,98,0.014,-0.344,27.9,-6.8,-0.082,1,11.0,67.0,13,5,1,0,0,Mature,0
CMP-00041,Resistors,NXP,SMD-0402,2.0,65,3,3,217,-0.085,0.14,15.1,7.4,-0.079,0,19.0,88.8,8,3,1,0,0,Active,0
CMP-00042,Semiconductors,Renesas,QFN,0.7,180,3,4,1071,-0.002,0.041,6.9,11.0,-0.024,1,10.0,57.2,22,0,1,1,0,Active,0
CMP-00043,Transistors,ON Semi,SMD-0402,2.9,28,6,8,20480,0.125,-0.202,8.5,19.0,0.193,2,22.0,53.4,10,3,1,1,0,Active,0
CMP-00044,Capacitors,Analog Devices,BGA,2.0,65,7,6,409,-0.071,-0.192,15.5,27.8,0.235,0,6.0,77.7,3,0,1,1,0,Active,0
CMP-00045,Inductors,Infineon,BGA,6.4,28,4,5,120,-0.016,-0.438,6.8,6.4,0.01,0,5.0,59.6,95,2,1,1,0,Active,0
CMP-00046,Capacitors,Analog Devices,TSSOP,3.5,22,4,3,328,-0.166,-0.073,35.6,9.4,0.157,0,10.0,57.6,22,0,1,1,0,Mature,0
CMP-00047,Connectors,NXP,DIP,27.0,14,6,9,320,0.022,0.112,24.6,6.9,0.06,1,11.0,94.5,12,3,1,0,0,Last Buy,1
CMP-00048,Connectors,Renesas,QFP,26.5,65,4,5,1681,-0.285,-0.12,12.8,32.3,0.085,0,4.0,84.4,8,1,1,0,0,EOL Announced,1
CMP-00049,Semiconductors,Murata,QFN,4.7,130,4,8,314,-0.057,0.101,20.9,0.4,-0.093,1,38.0,40.6,5,1,0,1,0,Mature,0
CMP-00050,ICs,TDK,DIP,12.7,28,3,3,356,-0.052,-0.263,13.2,-20.0,0.123,1,8.0,66.4,4,2,1,1,0,EOL Announced,1
CMP-00051,Diodes,ON Semi,QFN,0.5,65,2,3,789,0.039,-0.009,10.0,0.2,-0.026,0,36.0,94.3,4,2,0,0,0,Active,0
CMP-00052,ICs,ON Semi,SMD-0805,6.3,65,0,5,77,0.173,-0.016,13.2,17.9,-0.05,0,10.0,55.5,1,4,1,0,0,Active,0
CMP-00053,Transistors,Texas Instruments,SOIC,10.9,40,6,3,7853,,0.101,3.3,-20.0,,0,8.0,72.2,5,4,1,0,0,Declining,0
CMP-00054,Connectors,Texas Instruments,QFN,2.0,180,2,7,758,0.016,0.237,17.0,5.3,0.256,0,34.0,83.2,6,0,1,0,1,Active,0
CMP-00055,ICs,Samsung,SMD-0805,0.5,28,5,5,275,0.196,-0.042,9.6,-15.1,0.084,0,4.0,94.2,12,3,1,0,0,Active,0
CMP-00056,Semiconductors,Renesas,SOT-23,1.4,14,3,1,1929,-0.04,-0.097,30.3,10.4,-0.034,1,1.0,71.2,5,4,1,0,0,Active,0
CMP-00057,Semiconductors,ROHM,BGA,4.7,14,2,7,2371,0.115,-0.141,16.9,33.5,-0.003,0,5.0,79.0,4,2,0,0,0,Mature,0
CMP-00058,Semiconductors,Samsung,DIP,5.6,180,2,5,595,-0.052,0.123,13.8,-16.3,0.046,0,0.0,75.1,4,6,1,0,0,Mature,0
CMP-00059,Capacitors,Texas Instruments,CSP,3.8,250,4,4,343,-0.009,0.271,6.1,9.6,0.181,0,11.0,51.9,2,1,1,0,0,Active,0
CMP-00060,Resistors,Analog Devices,SOIC,4.6,28,7,7,1844,-0.144,-0.106,9.6,20.7,-0.038,2,20.0,81.5,9,2,1,1,0,Active,0
CMP-00061,Capacitors,NXP,TO-220,5.1,14,6,4,34,0.127,-0.122,13.9,30.4,-0.034,1,8.0,72.7,13,3,1,1,0,Mature,0
CMP-00062,Transistors,Intel,BGA,11.7,40,5,5,1438,0.04,-0.009,23.5,33.4,-0.168,0,60.0,,9,5,0,1,0,Last Buy,0
CMP-00063,Resistors,ON Semi,DIP,0.9,90,0,6,791,-0.238,-0.007,15.8,9.8,0.065,1,1.0,71.1,15,1,1,0,0,Mature,0
CMP-00064,Capacitors,Broadcom,TSSOP,11.7,65,3,7,5681,0.085,-0.196,13.2,20.9,-0.085,0,4.0,85.8,13,2,1,0,0,Mature,0
CMP-00065,Connectors,Murata,SOIC,9.3,250,4,2,2514,0.021,0.48,12.4,21.6,0.153,1,6.0,65.9,12,0,1,0,0,Last Buy,0
CMP-00066,Semiconductors,ON Semi,TO-220,10.8,130,3,7,3394,0.005,-0.276,29.3,9.0,-0.051,1,5.0,58.7,11,1,1,1,0,Last Buy,0
