component_family,category,date,month,year,quarter,demand_units,avg_unit_price,avg_lead_time_weeks,num_orders,market_index
COMP-000,Resistors,2022-01-01,1,2022,1,4395,0.95,3.1,43,101.2
COMP-000,Resistors,2022-02-01,2,2022,1,4509,1.07,4.8,23,107.0
COMP-000,Resistors,2022-03-01,3,2022,1,3923,0.31,6.3,68,105.7
COMP-000,Resistors,2022-04-01,4,2022,2,3481,1.13,6.0,29,108.3
COMP-000,Resistors,2022-05-01,5,2022,2,3846,0.9,5.7,20,102.6
COMP-000,Resistors,2022-06-01,6,2022,2,5398,1.51,3.9,38,108.6
COMP-000,Resistors,2022-07-01,7,2022,3,5357,0.55,3.6,32,105.9
COMP-000,Resistors,2022-08-01,8,2022,3,4803,0.77,3.1,27,103.1
COMP-000,Resistors,2022-09-01,9,2022,3,4376,1.04,2.6,44,111.0
COMP-000,Resistors,2022-10-01,10,2022,4,5706,1.08,3.6,41,107.4
COMP-000,Resistors,2022-11-01,11,2022,4,5157,0.59,1.2,68,104.9
COMP-000,Resistors,2022-12-01,12,2022,4,5271,0.45,2.2,101,104.5
COMP-000,Resistors,2023-01-01,1,2023,1,4770,1.27,5.3,25,102.0
COMP-000,Resistors,2023-02-01,2,2023,1,5569,0.94,6.2,86,101.8
COMP-000,Resistors,2023-03-01,3,2023,1,5376,1.68,7.5,58,88.9
COMP-000,Resistors,2023-04-01,4,2023,2,6380,0.66,6.8,72,92.5
COMP-000,Resistors,2023-05-01,5,2023,2,5548,1.12,5.6,45,96.7
COMP-000,Resistors,2023-06-01,6,2023,2,5927,1.19,4.0,45,95.2
COMP-000,Resistors,2023-07-01,7,2023,3,5681,1.16,4.9,60,89.7
COMP-000,Resistors,2023-08-01,8,2023,3,4745,0.79,1.6,26,88.0
COMP-000,Resistors,2023-09-01,9,2023,3,4716,1.37,2.0,51,87.3
COMP-000,Resistors,2023-10-01,10,2023,4,5122,1.01,1.0,41,89.6
COMP-000,Resistors,2023-11-01,11,2023,4,6002,0.69,1.8,72,88.7
COMP-000,Resistors,2023-12-01,12,2023,4,6550,0.97,3.0,75,100.7
COMP-000,Resistors,2024-01-01,1,2024,1,6084,0.8,3.9,59,104.3
COMP-000,Resistors,2024-02-01,2,2024,1,6595,0.29,6.5,49,100.3
COMP-000,Resistors,2024-03-01,3,2024,1,6590,0.54,5.1,38,106.1
COMP-000,Resistors,2024-04-01,4,2024,2,6678,1.93,5.6,39,107.2
COMP-000,Resistors,2024-05-01,5,2024,2,6116,1.55,6.2,61,110.8
COMP-000,Resistors,2024-06-01,6,2024,2,5992,0.78,6.1,93,109.2
COMP-000,Resistors,2024-07-01,7,2024,3,6270,1.87,4.1,41,107.5
COMP-000,Resistors,2024-08-01,8,2024,3,5906,2.49,3.4,70,104.5
COMP-000,Resistors,2024-09-01,9,2024,3,5432,1.58,2.4,69,111.6
COMP-000,Resistors,2024-10-01,10,2024,4,5691,1.0,2.1,51,109.6
COMP-000,Resistors,2024-11-01,11,2024,4,7046,1.27,2.1,35,102.0
COMP-000,Resistors,2024-12-01,12,2024,4,6247,0.23,2.2,31,98.6
COMP-001,Semiconductors,2022-01-01,1,2022,1,3147,4.62,2.7,22,102.2
COMP-001,Semiconductors,2022-02-01,2,2022,1,3156,1.26,4.9,30,105.2
COMP-001,Semiconductors,2022-03-01,3,2022,1,2724,1.87,5.4,21,106.5
COMP-001,Semiconductors,2022-04-01,4,2022,2,2812,1.28,4.2,15,106.3
COMP-001,Semiconductors,2022-05-01,5,2022,2,2513,0.39,6.1,41,108.8
COMP-001,Semiconductors,2022-06-01,6,2022,2,2805,0.76,4.9,26,104.4
COMP-001,Semiconductors,2022-07-01,7,2022,3,3665,0.85,4.6,35,106.8
COMP-001,Semiconductors,2022-08-01,8,2022,3,2663,0.58,3.9,37,108.3
COMP-001,Semiconductors,2022-09-01,9,2022,3,2938,2.33,1.6,33,103.6
